Server,Alias,IP Address
esbarvppam03sql.burberry.corp,,10.30.108.69
esbarvppam03sql.burberry.corp,,10.21.11.103
esbarvppam03rs.burberry.corp,,10.30.108.89
esbarvppam03rs.burberry.corp,,10.21.11.104
nlamsvexh07.burberry.corp,,10.21.10.26
nlamsvexh07.burberry.corp,,10.21.10.107
